iter	Passed	Remaining
0	41	83679
1	81	81645
2	121	81051
3	163	81429
4	204	81462
5	245	81725
6	287	81763
7	329	82028
8	371	82184
9	411	81821
10	451	81647
11	490	81337
12	530	81137
13	571	81073
14	612	81040
15	651	80777
16	694	81065
17	736	81109
18	776	80988
19	818	80997
20	862	81254
21	907	81588
22	951	81766
23	994	81880
24	1036	81882
25	1077	81797
26	1119	81816
27	1161	81818
28	1203	81769
29	1244	81741
30	1286	81682
31	1325	81543
32	1367	81486
33	1407	81365
34	1446	81230
35	1488	81220
36	1530	81209
37	1574	81275
38	1617	81345
39	1658	81264
40	1699	81185
41	1740	81137
42	1781	81084
43	1823	81058
44	1864	80990
45	1904	80906
46	1943	80750
47	1983	80653
48	2022	80521
49	2061	80411
50	2100	80272
51	2144	80320
52	2185	80277
53	2227	80268
54	2269	80265
55	2311	80230
56	2342	79844
57	2382	79786
58	2423	79725
59	2462	79632
60	2502	79552
61	2541	79454
62	2582	79393
63	2621	79307
64	2660	79206
65	2699	79097
66	2738	79016
67	2778	78932
68	2817	78836
69	2855	78733
70	2896	78688
71	2936	78619
72	2975	78546
73	3014	78469
74	3055	78424
75	3098	78450
76	3141	78465
77	3183	78441
78	3225	78424
79	3267	78412
80	3300	78192
81	3355	78476
82	3394	78411
83	3435	78352
84	3474	78273
85	3512	78175
86	3554	78166
87	3598	78190
88	3640	78163
89	3680	78111
90	3720	78040
91	3759	77979
92	3802	77979
93	3848	78033
94	3890	78020
95	3933	78016
96	3976	78010
97	4017	77980
98	4059	77944
99	4101	77926
100	4143	77899
101	4184	77863
102	4224	77799
103	4252	77535
104	4289	77416
105	4329	77366
106	4373	77382
107	4416	77371
108	4457	77334
109	4499	77304
110	4540	77268
111	4584	77287
112	4628	77284
113	4670	77261
114	4711	77235
115	4753	77205
116	4793	77151
117	4834	77101
118	4876	77082
119	4918	77058
120	4960	77035
121	5001	76993
122	5042	76947
123	5082	76894
124	5122	76841
125	5161	76760
126	5200	76703
127	5241	76660
128	5284	76641
129	5326	76615
130	5370	76623
131	5411	76573
132	5453	76557
133	5495	76522
134	5536	76486
135	5579	76477
136	5620	76425
137	5659	76367
138	5703	76367
139	5743	76303
140	5782	76235
141	5827	76251
142	5870	76235
143	5911	76193
144	5952	76153
145	5996	76152
146	6041	76153
147	6083	76122
148	6124	76089
149	6166	76059
150	6208	76018
151	6251	76001
152	6293	75970
153	6332	75911
154	6374	75876
155	6412	75803
156	6451	75732
157	6489	75660
158	6529	75605
159	6568	75535
160	6607	75474
161	6652	75480
162	6696	75464
163	6736	75419
164	6778	75389
165	6820	75355
166	6861	75317
167	6906	75319
168	6950	75303
169	6994	75288
170	7037	75271
171	7080	75248
172	7122	75214
173	7163	75180
174	7205	75140
175	7249	75128
176	7291	75101
177	7334	75074
178	7376	75039
179	7417	75002
180	7458	74960
181	7499	74911
182	7540	74868
183	7582	74837
184	7622	74783
185	7663	74739
186	7704	74697
187	7745	74649
188	7785	74599
189	7824	74538
190	7868	74524
191	7910	74491
192	7955	74487
193	8003	74506
194	8047	74486
195	8090	74469
196	8133	74436
197	8174	74395
198	8221	74406
199	8265	74388
200	8307	74356
201	8350	74330
202	8394	74307
203	8436	74271
204	8477	74228
205	8518	74187
206	8558	74135
207	8599	74089
208	8640	74040
209	8679	73986
210	8721	73942
211	8765	73929
212	8808	73900
213	8853	73890
214	8892	73830
215	8934	73794
216	8979	73778
217	9021	73748
218	9067	73741
219	9109	73707
220	9150	73657
221	9190	73607
222	9231	73564
223	9275	73545
224	9319	73518
225	9360	73476
226	9402	73435
227	9442	73387
228	9482	73336
229	9523	73291
230	9563	73239
231	9603	73185
232	9643	73135
233	9683	73081
234	9723	73028
235	9763	72976
236	9802	72920
237	9842	72871
238	9884	72830
