club_id,club,league_id,league,season,wins,draws,losses,pts,avg_xG,total_goals,total_goals_cond
71,Aston Villa,1,EPL,2014,10,8,20,38,0.8711229210526316,31,57
72,Everton,1,EPL,2014,12,11,15,47,1.1812680263157895,48,50
74,Southampton,1,EPL,2014,18,6,14,60,1.4464649210526315,54,33
75,Leicester,1,EPL,2014,11,8,19,41,1.2685895,46,55
76,West Bromwich Albion,1,EPL,2014,11,11,16,44,1.0165191868421053,38,51
77,Sunderland,1,EPL,2014,7,17,14,38,0.9854250789473685,31,53
78,Crystal Palace,1,EPL,2014,13,9,16,48,1.177807447368421,47,51
80,Chelsea,1,EPL,2014,26,9,3,87,1.8064031578947368,73,32
81,West Ham,1,EPL,2014,12,11,15,47,1.2286114210526318,44,47
82,Tottenham,1,EPL,2014,19,7,12,64,1.3785601052631578,58,53
83,Arsenal,1,EPL,2014,22,9,7,75,1.8369102894736844,71,36
84,Swansea,1,EPL,2014,16,8,14,56,1.0763482894736842,46,49
85,Stoke,1,EPL,2014,15,9,14,54,1.2173841315789473,48,45
86,Newcastle United,1,EPL,2014,10,9,19,39,1.0584575263157896,40,63
87,Liverpool,1,EPL,2014,18,8,12,62,1.3604533157894736,52,48
88,Manchester City,1,EPL,2014,24,7,7,79,1.995143184210526,83,38
89,Manchester United,1,EPL,2014,20,10,8,70,1.4264963157894737,62,37
91,Hull,1,EPL,2014,8,11,19,35,0.8629219210526315,33,51
92,Burnley,1,EPL,2014,7,12,19,33,1.0361223421052632,28,53
94,Verona,2,Serie A,2014,11,13,14,46,1.233770447368421,49,65
95,Roma,2,Serie A,2014,19,13,6,70,1.3382542631578946,54,31
96,Lazio,2,Serie A,2014,21,6,11,69,1.6314796052631577,71,38
98,Juventus,2,Serie A,2014,26,9,3,87,1.5546590526315789,72,24
99,Udinese,2,Serie A,2014,10,11,17,41,0.9173382105263158,43,56
100,Palermo,2,Serie A,2014,12,13,13,49,1.4466535263157894,53,55
101,Genoa,2,Serie A,2014,16,11,11,59,1.5084632631578947,62,47
102,Sampdoria,2,Serie A,2014,13,17,8,56,1.2522436631578948,48,42
104,Sassuolo,2,Serie A,2014,12,13,13,49,1.129330097368421,49,57
105,Napoli,2,Serie A,2014,18,9,11,63,1.697246842105263,70,54
106,Inter,2,Serie A,2014,14,13,11,55,1.5044288421052632,59,48
107,Atalanta,2,Serie A,2014,7,16,15,37,1.0772948947368421,38,57
108,Empoli,2,Serie A,2014,8,18,12,42,1.306919052631579,46,52
109,Chievo,2,Serie A,2014,10,13,15,43,0.868779552631579,28,41
110,Fiorentina,2,Serie A,2014,18,10,10,64,1.5965946052631579,61,46
111,AC Milan,2,Serie A,2014,13,13,12,52,1.2387513421052632,56,50
113,Torino,2,Serie A,2014,14,12,12,54,1.3626003157894737,48,45
116,Cagliari,2,Serie A,2014,8,10,20,34,1.4188657105263158,48,68
117,Bayern Munich,3,Bundesliga,2014,25,4,5,79,1.9472277999999998,80,18
118,Hamburger SV,3,Bundesliga,2014,9,8,17,35,0.9664464411764705,25,50
119,Bayer Leverkusen,3,Bundesliga,2014,17,10,7,61,1.4457558529411765,62,37
120,Hoffenheim,3,Bundesliga,2014,12,8,14,44,1.4695016764705882,49,55
121,Augsburg,3,Bundesliga,2014,15,4,15,49,1.2915205294117647,43,43
122,Hertha Berlin,3,Bundesliga,2014,9,8,17,35,0.9604832911764706,36,52
123,Werder Bremen,3,Bundesliga,2014,11,10,13,43,1.2551104411764706,50,65
124,Schalke 04,3,Bundesliga,2014,13,9,12,48,1.2134975235294116,42,40
125,Mainz 05,3,Bundesliga,2014,9,13,12,40,1.2915380294117647,45,47
128,Hannover 96,3,Bundesliga,2014,9,10,15,37,1.0714424705882353,40,56
129,Borussia Dortmund,3,Bundesliga,2014,13,7,14,46,1.5842206176470588,47,42
130,Borussia M.Gladbach,3,Bundesliga,2014,19,9,6,66,1.521810938235294,53,26
131,Wolfsburg,3,Bundesliga,2014,20,9,5,69,1.7161097352941177,72,38
132,Eintracht Frankfurt,3,Bundesliga,2014,11,10,13,43,1.3932269558823531,56,62
133,VfB Stuttgart,3,Bundesliga,2014,9,9,16,36,1.3423463529411763,42,60
134,FC Cologne,3,Bundesliga,2014,9,13,12,40,0.9477674117647058,34,40
135,Freiburg,3,Bundesliga,2014,7,13,14,34,1.1378829588235295,36,47
137,Malaga,4,La liga,2014,14,8,16,50,1.2163423157894737,42,48
138,Sevilla,4,La liga,2014,23,7,8,76,1.829648,71,45
139,Deportivo La Coruna,4,La liga,2014,7,14,17,35,0.9966115210526316,35,60
140,Real Sociedad,4,La liga,2014,11,13,14,46,0.8811893947368421,44,51
141,Espanyol,4,La liga,2014,13,10,15,49,1.1573471842105263,47,51
142,Getafe,4,La liga,2014,10,7,21,37,0.8939100131578948,33,64
143,Atletico Madrid,4,La liga,2014,23,9,6,78,1.5012544736842106,67,29
145,Rayo Vallecano,4,La liga,2014,15,4,19,49,1.257649894736842,46,68
146,Valencia,4,La liga,2014,22,11,5,77,1.449013157894737,70,32
147,Athletic Club,4,La liga,2014,15,10,13,55,1.19847765,42,41
