date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_xg,away_xg,xg_available,home_elo,away_elo,home_avg_attack,home_avg_defense,away_avg_attack,away_avg_defense,home_avg_overall,away_avg_overall
2024-07-06,Queretaro,Club Tijuana,1.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-06,Juarez,Atlas,2.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-06,Puebla,Santos Laguna,1.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-07,Atl. San Luis,Club America,2.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-07,UNAM Pumas,Club Leon,4.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-07,Tigres UANL,Necaxa,1.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-07,Cruz Azul,Mazatlan FC,1.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-07,Guadalajara Chivas,Toluca,0.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-08,Pachuca,Monterrey,0.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-09,Virtus (San),FCSB (Rou),1.0,7.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-09,UE Santa Coloma (And),FC Ballkani (Kos),1.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-09,TNS (Wal),Decic (Mne),3.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-09,FK Panevezys (Ltu),HJK (Fin),3.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-09,Vikingur Reykjavik (Ice),Shamrock Rovers (Irl),0.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-09,Hamrun (Mlt),Lincoln Red Imps (Gib),0.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Klaksvik (Fai),Differdange (Lux),2.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Din. Minsk (Blr),Pyunik Yerevan (Arm),0.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Borac Banja Luka (Bih),Egnatia (Alb),1.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Velez Mostar (Bih),Inter Escaldes (And),1.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Flora (Est),Celje (Slo),0.0,5.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Ludogorets (Bul),Dinamo Batumi (Geo),3.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,RFS (Lat),Larne (Nir),3.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Ordabasy (Kaz),Petrocub (Mda),0.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Auda (Lat),B36 Torshavn (Fai),2.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-10,Slovan Bratislava (Svk),Struga (Mkd),4.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Aktobe (Kaz),FK Sarajevo (Bih),0.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Tallinna Kalev (Est),Urartu (Arm),1.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Sheriff Tiraspol (Mda),Zira (Aze),0.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Caernarfon (Wal),Crusaders (Nir),2.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Valur (Ice),Vllaznia (Alb),2.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Ruzomberok (Svk),Tobol (Kaz),5.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,VPS (Fin),Zalgiris (Ltu),1.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Malisheva (Kos),Buducnost (Mne),1.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Wisla (Pol),KF Llapi (Kos),2.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Bala (Wal),Paide (Est),1.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Tikves (Mkd),Breidablik (Ice),3.0,2.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Paks (Hun),Corvinul (Rou),0.0,4.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Shelbourne (Irl),St Josephs (Gib),2.0,1.0,0,0,,,0,1500.0,1500.0,,,,,,
2024-07-11,Noah (Arm),Shkendija (Mkd),2.0,0.0,0,0,,,0,1500.0,1500.0,,,,,,
