game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_yellow_cards,home_red_cards,home_corner_assists,away_yellow_cards,away_red_cards,away_corner_assists
1026846,FIWC,2009,Round of 16,2010-06-26,3449,3589,2,1,,,Óscar Tabárez,Jung-moo Huh,Nelson Mandela Bay Stadium,30597.0,Wolfgang Stark,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1026846,,,Uruguay,South Korea,2:1,national_team_competition,0,0,0,3,0,0
1026847,FIWC,2009,Round of 16,2010-06-27,3437,6303,3,1,,,Diego Maradona,Javier Aguirre,FNB-Stadium,84377.0,Roberto Rosetti,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1026847,,,Argentina,Mexico,3:1,national_team_competition,0,0,0,1,0,0
1027001,FIWC,2009,Round of 16,2010-06-26,3505,3441,1,2,,,Bob Bradley,Milovan Rajevac,Royal Bafokeng Stadium,34976.0,Viktor Kassai,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027001,,,United States,Ghana,1:2,national_team_competition,3,0,0,2,0,0
1027002,FIWC,2009,Round of 16,2010-06-27,3262,3299,4,1,,,Joachim Löw,Fabio Capello,Free State Stadium,40510.0,Jorge Larrionda,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027002,,,Germany,England,4:1,national_team_competition,1,0,0,1,0,0
1027048,FIWC,2009,Round of 16,2010-06-28,3379,3503,2,1,,,Bert van Marwijk,Vladimír Weiss,Moses Mabhida Stadion,61962.0,Undiano Mallenco,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027048,,,Netherlands,Slovakia,2:1,national_team_competition,2,0,0,3,0,0
1027049,FIWC,2009,Round of 16,2010-06-29,3581,3435,5,3,,,Gerardo Martino,Takeshi Okada,Loftus Versfeld Stadium,36742.0,Frank De Bleeckere,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027049,,,Paraguay,Japan,5:3,national_team_competition,1,0,0,4,0,0
1027635,FIWC,2009,Round of 16,2010-06-28,3439,3700,3,0,,,Dunga,Marcelo Bielsa,Ellis Park Stadium,54096.0,Howard Webb,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027635,,,Brazil,Chile,3:0,national_team_competition,2,0,1,3,0,0
1027636,FIWC,2009,Round of 16,2010-06-29,3375,3300,1,0,,,Vicente del Bosque,Carlos Queiroz,Cape Town Stadium,62955.0,Héctor Baldassi,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027636,,,Spain,Portugal,1:0,national_team_competition,1,0,0,1,1,0
1027723,FIWC,2009,Quarter-Finals,2010-07-02,3449,3441,5,3,,,Óscar Tabárez,Milovan Rajevac,FNB-Stadium,84000.0,Olegário Benquerença,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027723,,,Uruguay,Ghana,5:3,national_team_competition,3,1,0,3,0,0
1027750,FIWC,2009,Quarter-Finals,2010-07-03,3437,3262,0,4,,,Diego Maradona,Joachim Löw,Cape Town Stadium,64100.0,Ravshan Irmatov,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1027750,,,Argentina,Germany,0:4,national_team_competition,2,0,0,1,0,0
1028533,FIWC,2009,Quarter-Finals,2010-07-02,3379,3439,2,1,,,Bert van Marwijk,Dunga,Nelson Mandela Bay Stadium,40186.0,Yuichi Nishimura,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1028533,,,Netherlands,Brazil,2:1,national_team_competition,4,0,0,1,1,0
1028686,FIWC,2009,Quarter-Finals,2010-07-03,3581,3375,0,1,,,Gerardo Martino,Vicente del Bosque,Ellis Park Stadium,55395.0,Carlos Batrés,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1028686,,,Paraguay,Spain,0:1,national_team_competition,4,0,0,2,0,0
1029770,FIWC,2009,Semi-Finals,2010-07-06,3449,3379,2,3,,,Óscar Tabárez,Bert van Marwijk,Cape Town Stadium,62479.0,Ravshan Irmatov,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1029770,,,Uruguay,Netherlands,2:3,national_team_competition,2,0,0,3,0,0
1029789,FIWC,2009,Semi-Finals,2010-07-07,3262,3375,0,1,,,Joachim Löw,Vicente del Bosque,Moses Mabhida Stadion,60960.0,Viktor Kassai,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1029789,,,Germany,Spain,0:1,national_team_competition,0,0,0,0,0,1
1030710,FIWC,2009,Final,2010-07-11,3379,3375,0,1,,,Bert van Marwijk,Vicente del Bosque,FNB-Stadium,84490.0,Howard Webb,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1030710,,,Netherlands,Spain,0:1,national_team_competition,8,1,0,5,0,0
1030711,FIWC,2009,Third Place Play-Off,2010-07-10,3449,3262,2,3,,,Óscar Tabárez,Joachim Löw,Nelson Mandela Bay Stadium,36254.0,Armando Archundia Téllez,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1030711,,,Uruguay,Germany,2:3,national_team_competition,1,0,0,3,0,0
1126203,FIWC,2005,Group C,2006-06-11,23380,3379,0,1,,,Ilija Petkovic,Marco van Basten,Red Bull Arena,37216.0,Dr. Markus Merk,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1126203,,,Serbia and Montenegro,Netherlands,0:1,national_team_competition,4,0,0,2,0,0
1126204,FIWC,2005,Group C,2006-06-16,3437,23380,6,0,,,José Néstor Pekerman,Ilija Petkovic,Veltins-Arena,52000.0,Roberto Rosetti,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1126204,,,Argentina,Serbia and Montenegro,6:0,national_team_competition,1,0,0,3,1,0
1126205,FIWC,2005,Group C,2006-06-21,3591,23380,3,2,,,Henri Michel,Ilija Petkovic,Allianz Arena,66000.0,Marco Rodríguez,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1126205,,,Ivory Coast,Serbia and Montenegro,3:2,national_team_competition,3,1,0,4,1,0
1168992,EURO,2011,Group A,2012-06-08,3442,3378,1,1,,,Franciszek Smuda,Fernando Santos,PGE Narodowy,56070.0,Carlos Velasco Carballo,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1168992,,,Poland,Greece,1:1,national_team_competition,0,1,0,3,1,0
1168993,EURO,2011,Group A,2012-06-08,3448,3445,4,1,,,Dick Advocaat,Michal Bilek,Tarczyński Arena Wrocław,40803.0,Howard Webb,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/1168993,,,Russia,Czech Republic,4:1,national_team_competition,0,0,0,0,0,0
