date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_xg,away_xg,xg_available,home_elo,away_elo,home_avg_attack,home_avg_defense,away_avg_attack,away_avg_defense,home_avg_overall,away_avg_overall
2014-08-01,Rubin Kazan,Spartak Moscow,0,4,0,0,1.19659,2.19129,1,1500.0,1500.0,,,,,,
2014-08-02,Ural,Mordovya,2,3,0,0,1.15656,2.15557,1,1500.0,1500.0,,,,,,
2014-08-02,CSKA Moscow,Torpedo Moscow,4,1,0,0,3.13827,0.578158,1,1500.0,1500.0,,,,,,
2014-08-02,Arsenal Tula,Zenit St. Petersburg,0,4,0,0,0.767575,2.48554,1,1500.0,1500.0,,,,,,
2014-08-03,Lokomotiv Moscow,FC Krasnodar,0,0,0,0,0.793814,0.733761,1,1500.0,1500.0,,,,,,
2014-08-03,Kuban Krasnodar,FC Ufa,2,0,0,0,2.04538,0.0390915,1,1500.0,1500.0,,,,,,
2014-08-03,Dinamo Moscow,FC Rostov,7,3,0,0,4.81401,0.600496,1,1500.0,1500.0,,,,,,
2014-08-04,FK Akhmat,Amkar,4,0,0,0,2.1776,0.325138,1,1500.0,1500.0,,,,,,
2014-08-08,Reims,Paris Saint Germain,2,2,0,0,1.36787,2.65538,1,1500.0,1500.0,,,,,,
2014-08-08,Kuban Krasnodar,FC Rostov,2,2,0,0,2.05495,0.382065,1,1508.5707376518324,1491.4292623481676,,,,,,
2014-08-08,Amkar,FC Ufa,0,1,0,0,0.360411,0.190173,1,1491.4292623481676,1491.4292623481676,,,,,,
2014-08-09,Mordovya,CSKA Moscow,0,1,0,0,0.435517,1.54445,1,1511.4292623481676,1508.5707376518324,,,,,,
2014-08-09,FK Akhmat,Rubin Kazan,1,1,0,0,0.427576,0.695471,1,1508.5707376518324,1488.5707376518324,,,,,,
2014-08-09,Nice,Toulouse,3,2,0,0,2.21481,1.56361,1,1500.0,1500.0,,,,,,
2014-08-09,SC Bastia,Marseille,3,3,0,0,1.39689,1.31751,1,1500.0,1500.0,,,,,,
2014-08-09,Zenit St. Petersburg,Torpedo Moscow,8,1,0,0,5.27931,0.971363,1,1511.4292623481676,1491.4292623481676,,,,,,
2014-08-09,Evian Thonon Gaillard,Caen,0,3,0,0,0.813737,1.23869,1,1500.0,1500.0,,,,,,
2014-08-09,Guingamp,Saint-Etienne,0,2,0,0,0.63294,1.49532,1,1500.0,1500.0,,,,,,
2014-08-09,Lille,Metz,0,0,0,0,1.54468,0.0571371,1,1500.0,1500.0,,,,,,
2014-08-09,Montpellier,Bordeaux,0,1,0,0,1.01756,0.750184,1,1500.0,1500.0,,,,,,
2014-08-09,Nantes,Lens,1,0,0,0,1.025,0.167128,1,1500.0,1500.0,,,,,,
2014-08-10,Dinamo Moscow,Spartak Moscow,1,2,0,0,0.470186,1.2314,1,1508.5707376518324,1511.4292623481676,,,,,,
2014-08-10,Ural,FC Krasnodar,1,1,0,0,0.537186,1.05965,1,1488.5707376518324,1501.4292623481676,,,,,,
2014-08-10,Arsenal Tula,Lokomotiv Moscow,0,2,0,0,0.793735,2.19601,1,1488.5707376518324,1498.5707376518324,,,,,,
2014-08-10,Lyon,Rennes,2,0,0,0,2.064,0.375946,1,1500.0,1500.0,,,,,,
2014-08-10,Monaco,Lorient,1,2,0,0,2.09333,1.6254,1,1500.0,1500.0,,,,,,
2014-08-12,Torpedo Moscow,Amkar,1,1,0,0,0.954046,0.617434,1,1483.4171982823527,1480.0,,,,,,
2014-08-13,CSKA Moscow,FK Akhmat,1,0,0,0,1.16511,1.12884,1,1520.0804977734979,1506.5828017176473,,,,,,
2014-08-13,Arsenal Tula,Rubin Kazan,0,0,0,0,1.25115,0.75607,1,1477.4245049765866,1490.5586735860174,,,,,,
2014-08-13,Ural,Zenit St. Petersburg,1,2,0,0,0.501385,1.36352,1,1487.5057737698698,1519.4413264139826,,,,,,
2014-08-13,FC Ufa,Dinamo Moscow,0,2,0,0,1.29986,1.15316,1,1502.8585246963353,1497.2221626144474,,,,,,
2014-08-14,FC Krasnodar,Spartak Moscow,4,0,0,0,3.24782,0.253954,1,1502.4942262301302,1522.7778373855526,,,,,,
2014-08-14,Lokomotiv Moscow,FC Rostov,2,1,0,0,1.13475,1.13306,1,1509.7169703270781,1493.3380470713712,,,,,,
2014-08-15,Caen,Lille,0,1,0,0,0.273799,0.945961,1,1511.4292623481676,1498.5707376518324,,,,,,
2014-08-15,Mordovya,Kuban Krasnodar,0,0,0,0,0.319693,0.230331,1,1499.9195022265021,1506.6619529286288,,,,,,
2014-08-16,Toulouse,Lyon,2,1,0,0,1.43956,1.28964,1,1491.4292623481676,1508.5707376518324,,,,,,
2014-08-16,Rennes,Evian Thonon Gaillard,6,2,0,0,1.81988,1.06246,1,1491.4292623481676,1488.5707376518324,,,,,,
2014-08-16,Metz,Nantes,1,1,0,0,1.21778,0.623268,1,1501.4292623481676,1508.5707376518324,,,,,,
2014-08-16,Lorient,Nice,0,0,0,0,1.03357,0.326763,1,1511.4292623481676,1508.5707376518324,,,,,,
2014-08-16,Paris Saint Germain,SC Bastia,2,0,0,0,1.50758,0.164539,1,1501.4292623481676,1498.5707376518324,,,,,,
2014-08-16,Lens,Guingamp,0,1,0,0,0.908766,1.00409,1,1491.4292623481676,1488.5707376518324,,,,,,
