date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1884-01-26,Ireland,Scotland,0,5,0,1,1500.0,1500.0
1884-02-09,Wales,Ireland,6,0,0,1,1500.0,1488.5707376518324
1884-02-23,Ireland,England,1,8,0,1,1480.3206175418784,1500.0
1884-03-15,Scotland,England,1,0,0,1,1511.4292623481676,1510.8704887621318
1884-03-17,Wales,England,0,4,0,1,1508.250120109954,1502.3155017349168
1884-03-29,Scotland,Wales,4,1,0,1,1519.9842493753827,1496.6539587380473
1885-02-28,England,Ireland,4,0,0,1,1513.9116631068234,1469.4501287797466
1885-03-14,Scotland,Ireland,8,2,0,1,1527.9044259008565,1462.1038818799807
1885-03-14,England,Wales,1,1,0,1,1521.2579100065893,1488.7337822125735
1885-03-21,England,Scotland,1,1,0,1,1518.9263573769674,1534.6895906084085
1885-03-23,Wales,Scotland,1,8,0,1,1491.0653348421954,1535.6718267243875
1885-04-11,Ireland,Wales,2,8,0,1,1455.3187171724287,1480.9101096687036
1886-02-27,Wales,Ireland,5,0,0,1,1491.611492337434,1444.6173345036984
1886-03-13,Ireland,England,1,6,0,1,1437.3387168002425,1517.9441212609884
1886-03-20,Ireland,Scotland,2,7,0,1,1428.2173396950798,1545.8270518978793
1886-03-27,Scotland,England,1,1,0,1,1553.905284607794,1527.0654983661511
1886-03-29,Wales,England,1,3,0,1,1498.8901100408898,1529.2417579498242
1886-04-10,Scotland,Wales,4,1,0,1,1551.729025024121,1488.3251871224745
1887-02-05,England,Ireland,7,0,0,1,1539.8066808682395,1420.139106985165
1887-02-19,Scotland,Ireland,4,1,0,1,1558.5761794878053,1414.6681063053884
1887-02-26,England,Wales,4,0,0,1,1545.277681548016,1481.4780326587902
1887-03-12,Ireland,Wales,4,1,0,1,1409.7338612371427,1474.6411344130613
1887-03-19,England,Scotland,2,3,0,1,1552.114579793745,1563.510424556051
1887-03-21,Wales,Scotland,0,2,0,1,1464.212331706684,1574.6169913839697
1888-02-04,England,Wales,5,1,0,1,1541.0080129658263,1455.9336095047806
1888-03-03,Wales,Ireland,11,0,0,1,1449.6366496810779,1420.16266394352
1888-03-10,Scotland,Wales,5,1,0,1,1582.895713585873,1457.388282937597
1888-03-17,Scotland,England,0,5,0,1,1588.2341287099512,1547.304972789529
1888-03-24,Ireland,Scotland,2,10,0,1,1412.411030687001,1575.6751380283251
1888-04-07,Ireland,England,1,5,0,1,1405.5602537766836,1559.863963471155
1889-02-23,England,Wales,4,1,0,1,1566.9489137655034,1452.0498678135189
1889-03-02,England,Ireland,6,1,0,1,1572.529686823473,1398.4753034823352
1889-03-09,Scotland,Ireland,7,0,0,1,1582.5259149386425,1394.1574371568981
1889-04-13,England,Scotland,2,3,0,1,1576.84755314891,1586.5713391319562
1889-04-15,Wales,Scotland,0,0,0,1,1446.4690947555493,1597.7254167170909
1889-04-27,Ireland,Wales,1,3,0,1,1390.1120129635844,1449.3036831744096
1890-02-08,Wales,Ireland,5,2,1,1,1459.039187343926,1380.376508794068
1890-03-15,Ireland,England,1,9,0,1,1372.6026930774592,1565.6934755637753
1890-03-15,Wales,England,1,3,0,1,1466.8130030605348,1571.79306566363
1890-03-22,Scotland,Wales,5,0,0,1,1594.8908282982306,1458.3823784014971
